customer_id,num_channels,net_revenue,is_multi_touch
2,0,60.09,0
8,1,65.25,0
9,1,65.63,0
13,1,71.9,0
14,0,76.14,0
17,1,97.28,0
19,1,122.93,0
20,3,124.47,1
21,1,171.32,0
22,2,477.32,1
23,1,73.88,0
25,1,365.86,0
26,0,54.35,0
28,1,177.79,0
29,1,595.26,0
32,0,100.17,0
33,1,8.1,0
37,2,59.53,1
41,1,620.05,0
44,1,103.79,0
46,2,562.01,1
47,0,29.91,0
48,1,171.12,0
49,1,39.19,0
50,2,301.78999999999996,1
51,1,42.15,0
52,1,138.3,0
53,1,15.95,0
55,3,259.52,1
56,1,55.22,0
57,1,17.78,0
62,1,32.63,0
63,2,297.94,1
64,0,111.58,0
66,1,53.58,0
67,1,336.06,0
68,1,96.25,0
69,0,52.98,0
71,2,99.75999999999999,1
72,2,161.26999999999998,1
73,1,319.61,0
74,3,217.19,1
75,1,68.4,0
77,1,41.65,0
79,3,174.82000000000002,1
81,1,76.56,0
82,2,48.16,1
84,1,216.19,0
86,1,624.27,0
87,1,68.17,0
88,1,52.69,0
93,1,15.43,0
95,2,490.71000000000004,1
99,2,194.5,1
100,2,249.56,1
101,0,312.31,0
102,1,68.17,0
104,2,395.34,1
106,2,364.64,1
108,1,19.79,0
110,1,287.09,0
111,2,95.32000000000001,1
112,1,26.64,0
113,1,77.29,0
115,1,151.56,0
118,1,44.1,0
119,1,104.12,0
120,1,19.46,0
121,1,33.92,0
122,1,37.34,0
123,2,22.89,1
124,1,264.94000000000005,0
125,2,174.45999999999998,1
126,1,40.18,0
127,1,75.08,0
128,1,197.32,0
129,1,96.6,0
132,1,83.65,0
133,1,42.58,0
134,1,75.76,0
135,2,561.3,1
136,1,195.18,0
138,1,57.72,0
139,2,163.51999999999998,1
141,1,95.23,0
142,1,60.78,0
144,1,39.2,0
145,1,366.85,0
146,1,73.01,0
149,1,70.27,0
152,1,100.06,0
153,1,42.41,0
154,1,267.66,0
159,0,48.76,0
160,2,67.52,1
161,1,230.76,0
162,2,410.12,1
164,1,79.31,0
165,1,161.9,0
166,0,42.42,0
167,2,179.14,1
168,0,82.85,0
169,1,29.13,0
173,1,14.16,0
175,1,85.89,0
176,1,117.68,0
177,1,73.08,0
178,3,242.51,1
179,1,310.08,0
181,1,9.49,0
186,3,125.67,1
187,1,69.16,0
192,1,128.98,0
194,2,64.29,1
196,1,162.37,0
197,1,57.39,0
198,3,233.64999999999998,1
199,2,186.57999999999998,1
207,2,323.55999999999995,1
209,2,202.43,1
210,1,69.28,0
214,0,139.2,0
217,3,561.31,1
219,1,9.04,0
220,0,141.85,0
222,1,73.46,0
224,3,486.09000000000003,1
225,1,94.48,0
226,0,266.82,0
227,0,41.88,0
228,0,40.4,0
233,1,43.46,0
236,0,110.28,0
237,1,62.14,0
238,1,44.34,0
239,0,466.36,0
240,0,44.77,0
241,1,330.43,0
242,0,76.74,0
245,1,94.17,0
248,1,97.64,0
249,1,91.96,0
252,1,60.489999999999995,0
254,1,141.47,0
255,3,881.44,1
256,1,185.62,0
257,1,122.64,0
258,0,48.7,0
260,1,148.67000000000002,0
262,1,139.69,0
265,1,40.62,0
267,1,74.75,0
268,1,156.84,0
270,1,131.7,0
