customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_score_avg,segment
2,1065,1,60.09,1,1,2,112,1.3333333333333333,Lost
8,42,1,65.25,5,1,2,512,2.6666666666666665,New Customers
9,633,1,65.63,2,1,2,212,1.6666666666666667,Lost
13,760,1,71.9,2,1,2,212,1.6666666666666667,Lost
14,557,1,76.14,2,1,2,212,1.6666666666666667,Lost
17,504,1,97.28,3,1,3,313,2.3333333333333335,Potential
19,807,1,122.93,1,1,3,113,1.6666666666666667,Lost
20,121,4,124.47,5,5,3,553,4.333333333333333,Loyal Customers
21,1033,1,171.32,1,1,4,114,2.0,Lost
22,170,4,477.32,4,5,5,455,4.666666666666667,Champions
23,603,1,73.88,2,1,2,212,1.6666666666666667,Lost
25,844,2,365.86,1,4,5,145,3.3333333333333335,At Risk
26,615,1,54.35,2,1,2,212,1.6666666666666667,Lost
28,381,2,177.79,3,4,4,344,3.6666666666666665,Loyal Customers
29,1045,1,595.26,1,1,5,115,2.3333333333333335,Lost
32,701,1,100.17,2,1,3,213,2.0,Lost
33,540,1,8.1,2,1,1,211,1.3333333333333333,Lost
37,243,2,59.53,4,4,2,442,3.3333333333333335,Potential
41,391,3,620.05,3,5,5,355,4.333333333333333,Loyal Customers
44,384,1,103.79,3,1,3,313,2.3333333333333335,Potential
46,316,3,562.01,4,5,5,455,4.666666666666667,Champions
47,527,1,29.91,2,1,1,211,1.3333333333333333,Lost
48,678,1,171.12,2,1,4,214,2.3333333333333335,Lost
49,1056,1,39.19,1,1,1,111,1.0,Lost
50,221,3,301.78999999999996,4,5,5,455,4.666666666666667,Champions
51,346,1,42.15,3,1,1,311,1.6666666666666667,Potential
52,904,1,138.3,1,1,4,114,2.0,Lost
53,492,1,15.95,3,1,1,311,1.6666666666666667,Potential
55,337,3,259.52,3,5,5,355,4.333333333333333,Loyal Customers
56,501,1,55.22,3,1,2,312,2.0,Potential
57,483,1,17.78,3,1,1,311,1.6666666666666667,Potential
62,413,1,32.63,3,1,1,311,1.6666666666666667,Potential
63,453,2,297.94,3,4,5,345,4.0,Loyal Customers
64,634,1,111.58,2,1,3,213,2.0,Lost
66,948,1,53.58,1,1,2,112,1.3333333333333333,Lost
67,667,2,336.06,2,4,5,245,3.6666666666666665,At Risk
68,554,2,96.25,2,4,3,243,3.0,At Risk
69,715,1,52.98,2,1,2,212,1.6666666666666667,Lost
